category,brand,model,new_price_krw_approx,used_target_krw,position,notes
Domestic,Dame,Mind 200,239000,"100000-160000",Entry,"최저가 입문용, 방치형 연습용"
Domestic,Dame,LP5,578000,"250000-320000",Entry-Mid,"상태 좋은 30만 원 전후 매물은 강한 후보"
Domestic,HEX,H300,425000,"180000-230000",Entry-Mid,"20만 원대 초반이면 좋음"
Domestic,Spear,RD-250/RD-250A,"430000-480000","180000-260000",Entry-Mid,"방 연습용 핵심 후보"
Domestic,Cort,CR250,479000,"200000-270000",Mid,"안정적인 국내 브랜드 LP 타입"
Domestic,Cort,CR300,"690000+","300000-400000",Mid,"좋지만 방치형 목적에는 살짝 과함"
Domestic,Swing,MLP-100,"420000-460000","180000-240000",Entry-Mid,"슬림/가벼움 장점"
Domestic,Corona,CLP Standard,"348000-420000","120000-220000",Entry,"전기계통 정상 여부 중요"
Domestic,Beyond,Modern LP Active-Lite,"250000-320000","150000-220000",Entry,"액티브/메탈 성향, 역할 중복 주의"
Domestic,Wildwood,WLP Standard/FM/QM,"400000-600000","200000-350000",Entry-Mid,"모델별 스펙 확인 필요"
Domestic,Sire,L7/L7V,819000,"300000-400000",Mid,"30만 원대 초반 중고는 최우선"
Domestic,Sire,L7 New Gen,895000,"450000+",Mid,"방치형 목적에는 다소 과함"
Domestic,Gopherwood,LP Classic VII/IX,"790000-1100000","500000+",Mid-High,"좋은 기타지만 방치형 목적과는 거리 있음"
Import,Epiphone,Les Paul Special/Studio LT,"300000-500000","150000-250000",Entry,"저가 Epiphone LP"
Import,Epiphone,Les Paul Standard,"900000-1100000","300000-450000",Mid,"브랜드 수요와 재판매 유리"
Import,Tokai,China Love Rock,Unknown,"250000-300000",Entry-Mid,"일본제 Tokai와 구분 필요"
Import,GrassRoots,G-LP/G-LS,"JPY57000-60000+tax","300000-500000",Mid,"ESP 계열 내수 브랜드, 매물 희소"
Import,LTD,EC-10,"USD199-class","100000-200000",Entry,"메탈 싱글컷 입문형"
Import,LTD,EC-256,"USD499-class","350000-500000",Mid,"가성비 좋은 모던 싱글컷"
Import,Jackson,JS Monarkh,"390000-500000","180000-280000",Entry,"메탈 지향 싱글컷"
